token,count,trait,canonical,how,examples
灌木,1094,life_form,shrub,direct,一品紅|一條根|七日暈
互生,706,leaf_arrangement,alternate,direct,一品紅|九丁樹|九重葛
喬木,697,life_form,tree,direct,九丁樹|九芎舅|人心果
互生葉,550,leaf_arrangement,alternate,direct,七日暈|七里香|九節木
總狀花序,436,inflorescence,raceme,direct,一條根|七葉蓮|九重吹
小喬木,343,life_form,tree,direct,七里香|八角仔|土密樹
聚繖花序,342,inflorescence,cyme,direct,九重葛|九節木|刀葉槲寄生
圓錐花序,288,inflorescence,panicle,direct,七里香|九芎|三年桐
互生葉序,272,leaf_arrangement,alternate,strip:互生,八角仔|三腳鱉|三蕊楠
對生葉,265,leaf_arrangement,opposite,direct,刀葉槲寄生|十字木|三白
革質葉,232,leaf_texture,coriaceous,direct,三斗石櫟|千年紅|千金樹
卵形葉,224,leaf_shape,ovate,strip:卵形,七日暈|七里香|九芎
多年生草本,219,,,UNMAPPED,卡斯比亞|四季秋海棠|一串紅
核果,214,fruit_type,drupe,direct,千年桐|千瓣白桃|土密樹
常綠,213,phenology,evergreen,direct,八角仔|三葉山香圓|三蕊楠
落葉,213,phenology,deciduous,direct,九芎|三年桐|千張樹
橢圓形葉,201,leaf_shape,elliptic,strip:橢圓形,三白|千年紅|土楠
全緣葉緣,199,leaf_margin,entire,strip:全緣,人心果|三叉虎|三叉虎
鋸齒緣,195,leaf_margin,serrate,direct,九龍藤|人心藥|三加皮
卵形,193,leaf_shape,ovate,direct,一品紅|九重葛|十里香
紅花,184,flower_color,red,direct,九重葛|八角仔|三腳鱉
藤本,161,life_form,vine,direct,九龍藤|三十六蕩|三十六蕩
三出複葉,140,leaf_type,trifoliate,direct,一條根|三叉虎|三叉虎
波狀緣,138,leaf_margin,wavy,direct,一品紅|七日暈|七里香
長橢圓形葉,137,leaf_shape,elliptic,strip:長橢圓形,九節木|人心果|大丁黃
全緣,136,leaf_margin,entire,direct,十里香|三年桐|大明橘
披針形葉,136,leaf_shape,lanceolate,strip:披針形,大葉釣樟|大頭茶|大羅傘
奇數羽狀複葉,130,,,UNMAPPED,九重吹|大葉貓尾草|小葉木蕗藤
全緣葉,129,leaf_margin,entire,direct,土密樹|大果榕|大青
穗狀花序,124,inflorescence,spike,direct,大白匏仔|大葉榿寄生|大葉檞寄生
白色花,120,flower_color,white,direct,人心藥|大武八角|大花假虎刺
台灣特有種,119,endemism,endemic,direct,七日暈|八角仔|八角金盤
披針形,115,leaf_shape,lanceolate,direct,一品紅|三葉豬屎豆|千年木
雌雄異株,110,reproductive_system,dioecious,direct,土密樹|大明橘|大葉釣樟
倒卵形葉,107,leaf_shape,obovate,strip:倒卵形,土楠|土煙仔|土樟
細鋸齒緣,107,leaf_margin,serrate,direct,千年紅|土常山|大葉櫻
橢圓形,106,leaf_shape,elliptic,direct,土密樹|大果油麻藤|大花紫薇
對生葉序,104,leaf_arrangement,opposite,strip:對生,三叉虎|三叉虎|三椏苦
紅果,100,fruit_color,red,rule:color_organ,九節木|三叉寒莓黃泡|士林懸鉤子
球果,96,fruit_type,cone,rule:fruit_type,九丁樹|三椏苦|千年紅
羽狀複葉,92,leaf_type,pinnate,direct,大王椰子|山黃皮|丹荔
繖形花序,89,inflorescence,umbel,direct,三加皮|三葉五加|大葉釣樟
倒卵形,88,leaf_shape,obovate,direct,三葉木藍|土豆葉仔|小梗黃肉楠
長橢圓形,88,leaf_shape,elliptic,direct,一條根|九丁樹|三葉豬屎豆
中喬木,84,,,UNMAPPED,九重吹|三年桐|三蕊楠
單生花,82,inflorescence,solitary,direct,千瓣白桃|大果木棉樹|大花曼陀羅
楔形基部,81,leaf_base,cuneate,direct,八角仔|小果山龍眼|小泉氏灰木
大喬木,80,life_form,tree,direct,大葉校栗|山苦楝|山黃麻
球形果實,75,fruit_shape,globose,direct,三葉山香圓|土常山|大青
二回羽狀複葉,74,leaf_type,bipinnate,direct,大葉合歡|小實孔雀豆|孔雀豆
長橢圓形葉片,68,leaf_shape,elliptic,strip:長橢圓形,七葉蓮|九重吹|土常山
蒴果,66,fruit_type,capsule,direct,九芎|大花安息香|大花紫薇
繖房花序,65,inflorescence,corymb,direct,三腳鱉|土樟|小果冬青
黃色花,64,flower_color,yellow,direct,三葉豬屎豆|大野百合|山扁豆
亞灌木,63,,,UNMAPPED,人心藥|大花曼陀羅|大野百合
白色花瓣,62,flower_color,white,direct,士林懸鉤子|大果木棉樹|小果紫薇
偶數羽狀複葉,61,,,UNMAPPED,大花田青|大葉山扁豆|大葉桃花心木
全緣葉邊,61,leaf_margin,entire,strip:全緣,九丁樹|土樟|大葉桃花心木
蔓生,61,life_form,vine,direct,三加皮|三葉五加|大黃鱔藤
心形基部,59,leaf_base,cordate,direct,小葉桑|川上氏鵝耳櫪|毛鉤藤
漿果,59,fruit_type,berry,direct,十字木|三腳鱉|子楝樹
頭狀花序,59,inflorescence,capitulum,direct,三葉木藍|土豆葉仔|毛鉤藤
腺體,57,,,UNMAPPED,三年桐|千年桐|大葉桂櫻
鉤刺,57,,,UNMAPPED,三加皮|三葉五加|士林懸鉤子
臺灣特有種,56,endemism,endemic,direct,大葉楠|小梗黃肉楠|山漆莖
白色花冠,55,,,UNMAPPED,三白|土煙仔|大明橘
莢果,55,fruit_type,pod,direct,三葉木藍|土豆葉仔|一條根
星狀毛,53,,,UNMAPPED,大花安息香|大葉桑寄生|大葉楓寄生
銳尖端,53,,,UNMAPPED,土煙仔|大花曼陀羅|小葉傘花樹
白色花朵,52,,,UNMAPPED,天竺|水梨藤|牛屎烏
草本,52,life_form,herb,direct,大葉野百合|小葉三點金草|小葉山螞蝗
長橢圓狀披針形,52,,,UNMAPPED,大明橘|大葉桃花心木|小果冬青
橢圓形葉片,51,leaf_shape,elliptic,strip:橢圓形,三加皮|三蕊楠|大花安息香
耐旱,50,,,UNMAPPED,土常山|大冇樹|五脈剛毛省藤
掌狀複葉,48,leaf_type,palmate,direct,大果木棉樹|不驚茶|巴西橡皮
柔毛,48,surface_hair,pubescent,direct,千金拔|土密樹|大葉山螞蝗
長橢圓狀披針形葉,48,,,UNMAPPED,三斗石櫟|大葉杜仔|大葉校栗
卵形葉形,47,,,UNMAPPED,小葉黃鱔藤|山油麻|川滇薔薇
側脈明顯,46,,,UNMAPPED,九芎|大葉杜仔|大葉校栗
芳香,46,,,UNMAPPED,女貞木|山馬茶|山梔
腺點,44,,,UNMAPPED,一條根|十字木|三葉木藍
卵形葉片,43,leaf_shape,ovate,strip:卵形,九重吹|山苧麻|五葉樹參
藥用植物,40,,,UNMAPPED,九節木|八角金盤|三叉虎
鈍齒緣,40,,,UNMAPPED,大枝掛繡球|大葉黃楊|山黃皮
卵狀披針形,39,,,UNMAPPED,山秀英|山埔鹽|山賊仔
高山植物,39,,,UNMAPPED,上樹蜈蚣|大武八角|王山小蘗
黃白色花,39,flower_color,yellow,direct,三葉山香圓|大井忍冬|大葉榿寄生
芳香花,38,,,UNMAPPED,七里香|三白|七里香
卵狀長橢圓形葉,37,,,UNMAPPED,人心藥|大井忍冬|大葉楓寄生
攀緣,37,life_form,vine,direct,大枝掛繡球|大錦蘭|火索藤
羽狀脈,37,,,UNMAPPED,三蕊楠|土楠|大葉釣樟
皮孔,36,,,UNMAPPED,大葉榿寄生|小果女貞|小腊
蓇葖果,36,,,UNMAPPED,八角仔|三十六蕩|三十六蕩
厚革質葉,35,leaf_texture,coriaceous,rule:texture,土楠|大花假虎刺|大葉楓寄生
台灣特有植物,35,endemism,endemic,rule:endemism,天仙果|阿里山卷耳|蘭嶼木薑子
粉紅色花,35,flower_color,pink,direct,千瓣白桃|山鹽波|木菁
