token,count,examples
多年生草本,219,卡斯比亞|四季秋海棠|一串紅
奇數羽狀複葉,130,九重吹|大葉貓尾草|小葉木蕗藤
中喬木,84,九重吹|三年桐|三蕊楠
亞灌木,63,人心藥|大花曼陀羅|大野百合
偶數羽狀複葉,61,大花田青|大葉山扁豆|大葉桃花心木
鉤刺,57,三加皮|三葉五加|士林懸鉤子
腺體,57,三年桐|千年桐|大葉桂櫻
白色花冠,55,三白|土煙仔|大明橘
銳尖端,53,土煙仔|大花曼陀羅|小葉傘花樹
星狀毛,53,大花安息香|大葉桑寄生|大葉楓寄生
長橢圓狀披針形,52,大明橘|大葉桃花心木|小果冬青
白色花朵,52,天竺|水梨藤|牛屎烏
耐旱,50,土常山|大冇樹|五脈剛毛省藤
長橢圓狀披針形葉,48,三斗石櫟|大葉杜仔|大葉校栗
卵形葉形,47,小葉黃鱔藤|山油麻|川滇薔薇
側脈明顯,46,九芎|大葉杜仔|大葉校栗
芳香,46,女貞木|山馬茶|山梔
腺點,44,一條根|十字木|三葉木藍
藥用植物,40,九節木|八角金盤|三叉虎
鈍齒緣,40,大枝掛繡球|大葉黃楊|山黃皮
高山植物,39,上樹蜈蚣|大武八角|王山小蘗
卵狀披針形,39,山秀英|山埔鹽|山賊仔
芳香花,38,七里香|三白|七里香
卵狀長橢圓形葉,37,人心藥|大井忍冬|大葉楓寄生
羽狀脈,37,三蕊楠|土楠|大葉釣樟
蓇葖果,36,八角仔|三十六蕩|三十六蕩
皮孔,36,大葉榿寄生|小果女貞|小腊
銳尖葉端,35,九節木|土常山|大井忍冬
觀賞植物,33,小葉魚藤|木患子|王棕
披針形小葉,32,三叉虎|三叉虎|三椏苦
竹子,32,方竹|毛竹|四方竹
黃色花朵,32,毛苦參|月橘|白葉藤
一年生草本,32,天人菊|茼蒿菊|貝殼花
銳尖,31,大花紫薇|水栗子|牛見愁
全株被毛,30,小香藤|木菁|毛木藍
直立莖,29,蘇鐵蕨|非洲菊|洛神葵
長橢圓形葉形,28,八角仔|大葉榕|大實肉豆蔻
紅色果實,28,小果冬青|小葉傘花樹|巴西胡椒木
長橢圓形小葉,28,小葉山螞蝗|巴西紫葳|毛胡枝子
短毛,28,中華胡枝子|水金京|幼葉樟
三出脈,27,土肉桂|小芽新木薑子|小葉樟
腋生花,27,大紅袍|大頭茶|太平冬青
卵狀長橢圓形,27,大葉山螞蝗|山豬枷|六捻仔
頂生花序,27,小西氏鐵樹|山石榴|王不留行
乳汁,27,大葉山欖|山馬茶|山欖
漏斗狀花冠,27,不驚茶|天寶花|伊培樹
台灣原生,26,上樹蜈蚣|大血藤|大果榕
假種皮,26,大葉黃楊|丹荔|火山
倒披針形葉,25,大葉木犀|大葉楠|小葉樹杞
短總狀花序,24,三裂葉葛藤|小葛藤|木豆
闊卵形葉,24,大花假虎刺|女貞木|五色梅
扁平莢果,24,大葉山扁豆|山扁豆|石決明
紫黑色果實,24,土常山|小梗木薑子|小梗黃肉楠
紅熟果實,23,千年紅|小葉懸鉤子|毛萼懸鉤子
棘刺,23,大花假虎刺|山石榴|山柑仔
腺毛,23,山埔鹽|山鹽菁|毛寶巾
